,Reference Designator,Part Name,Not mount on PCB
0,reference,partName,noMount
1,B0225,1267361536,YES
2,B3000,1267362148,YES
3,C0001,1267370564,NO
4,C0002,1267370564,NO
5,C1100,1267370747,NO
6,C1600,1267370682,NO
7,C1800,1267370907,NO
8,D3000,1267375175,NO
9,D3000T,8909B0295201,YES
10,D3001,1267375143,NO
11,D3002,1267375404,NO
12,D3003,1267375404,NO
13,L3000,1267369535,NO
14,L3001,8909008195,YES
15,L3020,8909007119,NO
16,L3021,8909008195,YES
17,L3170,1277240021,NO
18,L3590,1267369542,NO
19,L4550,1277240021,NO
20,L4560,1277240021,NO
21,L4570,1277240021,NO
22,L4580,1277240021,NO
23,L4590,1277240021,NO
24,L4600,1267369162,YES
25,L4605,1267369162,YES
26,L5120,1267369160,NO
27,Q5000,1267369255,NO
28,R0001,1267362122,NO
29,R0002,1267362122,NO
30,R0003,1267362122,NO
31,R0004,1267362122,NO
32,R0005,1267362122,NO
33,R0006,1267362122,NO
34,R0007,1267362198,NO
35,R0008,1267362198,NO
36,R0009,1267362122,NO
37,R0010,1267362198,NO
38,S1600,273300605,NO
39,S3000,272240386,NO
40,S3150,8909013680,NO
41,S4550,1267367315,NO
42,S4560,1267367315,NO
43,S4570,1267367315,NO
44,S4580,1267367315,NO
45,S4590,1267367315,NO
46,S4600,1267367321,YES
47,S4605,1267367321,NO
48,S5000,8909010955,NO
49,S5660,1267379778,YES
50,S5661,8905504792,YES
51,S6110,1267379613,NO
52,S6120,1267379613,NO
53,S6130,1267379613,NO
54,S6140,1267379613,NO
55,S6150,1267379613,NO
56,S6160,1267379613,NO
57,S6170,1267379613,NO
58,S6180,1267379613,NO
59,S6190,1267379613,YES
60,S6200,1267379613,NO
61,S6210,1267379613,NO
62,S7000,1267367361,NO
63,S7400,8909007178,NO
64,S8100,8909009130,NO
65,S8120,8909009130,NO
66,S8140,8909009130,NO
80,X5000,8905B0010601,YES
