Reference Designator,Part Name,Not mount on PCB
reference,partName,noMount
B0225,1267361536,YES
B3000,1267362148,YES
C0001,1267370564,NO
C0002,1267370564,NO
C1100,1267370747,NO
C1600,1267370682,NO
C1800,1267370907,NO
D3000,1267375175,NO
D3000T,8909B0295201,YES
D3001,1267375143,NO
D3002,1267375404,NO
D3003,1267375404,NO
L3000,1267369535,NO
L3001,8909008195,YES
L3020,8909007119,NO
L3021,8909008195,YES
L3170,1277240021,NO
L3590,1267369542,NO
L4550,1277240021,NO
L4560,1277240021,NO
L4570,1277240021,NO
L4580,1277240021,NO
L4590,1277240021,NO
L4600,1267369162,YES
L4605,1267369162,YES
L5120,1267369160,NO
Q5000,1267369255,NO
R0001,1267362122,NO
R0002,1267362122,NO
R0003,1267362122,NO
R0004,1267362122,NO
R0005,1267362122,NO
R0006,1267362122,NO
R0007,1267362198,NO
R0008,1267362198,NO
R0009,1267362122,NO
R0010,1267362198,NO
S1600,273300605,NO
S3000,272240386,NO
S3000,272240386,NO
S3000,272240386,NO
S3000,272240386,NO
S3000,272240386,NO
S3000,272240386,NO
S3150,8909013680,NO
S4550,1267367315,NO
S4560,1267367315,NO
S4570,1267367315,NO
S4580,1267367315,NO
S4590,1267367315,NO
S4600,1267367321,YES
S4605,1267367321,NO
S5000,8909010955,NO
S5000,8909010955,NO
S5000,8909010955,NO
S5000,8909010955,NO
S5000,8909010955,NO
S5000,8909010955,NO
S5660,1267379778,YES
S5660,1267379778,YES
S5660,1267379778,YES
S5661,8905504792,YES
S6110,1267379613,NO
S6120,1267379613,NO
S6130,1267379613,NO
S6140,1267379613,NO
S6150,1267379613,NO
S6160,1267379613,NO
S6170,1267379613,NO
S6180,1267379613,NO
S6190,1267379613,YES
S6200,1267379613,NO
S6210,1267379613,NO
S7000,1267367361,NO
S7000,1267367361,NO
S7000,1267367361,NO
S7000,1267367361,NO
S7000,1267367361,NO
S7000,1267367361,NO
S7000,1267367361,NO
S7000,1267367361,NO
S7000,1267367361,NO
S7000,1267367361,NO
S7000,1267367361,NO
S7000,1267367361,NO
S7000,1267367361,NO
S7000,1267367361,NO
S7000,1267367361,NO
S7000,1267367361,NO
S7000,1267367361,NO
S7000,1267367361,NO
S7400,8909007178,NO
S7400,8909007178,NO
S7400,8909007178,NO
S7400,8909007178,NO
S7400,8909007178,NO
S7400,8909007178,NO
S7400,8909007178,NO
S7400,8909007178,NO
S7400,8909007178,NO
S7400,8909007178,NO
S7400,8909007178,NO
S7400,8909007178,NO
S8100,8909009130,NO
S8120,8909009130,NO
S8140,8909009130,NO
T1100,1267377494,NO
T3020,1267377219,NO
T3021,1267377532,NO
T3030,1267377532,NO
T3430,1267377506,NO
T4820,1267377052,NO
T5120,1267377051,NO
T5122,1267377052,NO
T5660,1267377513,YES
T5661,1267377513,YES
T5662,1267377513,YES
T7450,1267377532,NO
T7460,1267377532,YES
X5000,8905B0010601,YES
TN7160,1267377078,NO
TN7160,1267377078,NO
TN7180,1267377078,NO
TN7180,1267377078,NO
TN7200,1267377078,NO
TN7200,1267377078,NO
TN7240,1267377078,NO
TN7240,1267377078,NO
TN7260,1267377078,NO
TN7260,1267377078,NO
TN7409,1267377078,NO
TN7409,1267377078,NO
TN7429,1267377078,NO
TN7429,1267377078,NO
TN7470,1267377078,NO
TN7470,1267377078,NO
