Partnumber,Package,Value,Tolerance
8909015728,14.5*16*14.5mm,AT-EP130-009,
8900679310,0207,16.5k,2%
8909011258,SOT23-6,TPS22810TDBVRQ1,
0261D006G0,,undefined,
8905510120,0402,19.1k,1%
8909008318,0805,220nF,15%
2281290400,BLECH,"FALTBLECH, TK10",
8909B01830,TQFP100 epad,CJ970A,
8901026060,,1R,10%
8909B03940,SOT23,TPS61041QDBVRQ1,
8900433238,0414,294R,1%
8909009068,0603,5.9k,1%
8900635550,0204,32.4k,2%
8905501150,HY_0402,6.8pF,0%
8900214308,0204,1.62k,2%
8909010588,3225,GSX20-264,
8905510121,0402,30k,1%
8909B0668101,,A-HTSW-204-22-F-,
8909B01831,SOD128,PMEG6030ELP,
8905501151,HY_0402,4.7nF,10%
8909009069,0603,6.81k,1%
8909B0696701,TQFN (5mm x 5mm x 0.75mm),MAX20095ATIB/VY+,
8909B03941,PG-DSO-36,TLE92466ED,
8900679311,0207,16.9k,2%
8905505621,SC-74,IMD9A,
8909B0689401,64 TQFN-EP,MAX96726AETB/V+,
8909B0363901,"6,21x6,2x2,3 mm",TDA04H0SB1,
8900433239,0414,301R,1%
8909B0723601,,Hai Guang,
8909015729,14.5*16*14.5mm,AT-EP130-010,
8909011259,QFN32 SW,MAX96717GTJ/VY+T,
0261C007P1,,undefined,
8900214309,0204,1.65k,2%
8900635551,0204,33.2k,2%
8909010589,3225,CX3225SB25000H0W,
8902955409,,22nF,20%
890901537701,0402,330pF,5%
8909008319,0603,47nF,15%
890550615201,TO252AA,RURD620CCS9A_SB8,
8905501152,HY_0402,6.8nF,10%
8900679312,0207,17.4k,2%
8905505622,PSSO36,L9952GXP,
8900635552,0204,34k,2%
8905510122,0402,240k,1%
8909B03942,40-pin QFN,88EA1517,
8909B01832,SOD123W,PMEG10010ELR,
0281D00753,,MSL96-POL.,
1269992583,RTW_UNDEF,"STORNO OHNE VWD,",
8909B01833,10x10,0.47uH,
8905505623,SSOP14,TLE8205E,
8905510123,0402,3k,1%
8900635553,0204,34.8k,2%
8900679313,0207,17.8k,2%
8905501153,HY_0402,10nF,10%
8909B03943,PG-DSO-36,TLE92464ED,
0272230554,HIQUAD64,CY315C,
8900679314,0207,18.2k,2%
2281290404,BLECH,"FALTBLECH, SK-E,",
8900635554,0204,35.7k,2%
8909B01834,LFPAK56,ZUK7Y1R5-40H,
8905501154,HY_0402,15nF,10%
8905510124,0402,4.7k,1%
8909B03944,"5x5x2,8 mm",80nH,
8900679315,0207,18.7k,2%
8900635555,0204,36.5k,2%
8905501155,HY_0402,22nF,10%
8905510125,0402,19.1k,1%
8905505626,,12.015MHz,50%
8900635556,0204,37.4k,2%
0273141066,SO16,SMB200H,
8909B01836,,2.5uH,
8900679316,0207,19.1k,2%
8905501156,HY_0402,33nF,10%
8909B03946,,50W VCSEL Chip,
8905510126,0402,30k,1%
8900635557,0204,38.3k,2%
8900679317,0207,19.6k,2%
8905510127,0402,240k,1%
8905501157,HY_0402,47nF,10%
