Component ID,Reference Designator,Part Name,Not mount on PCB,Symbol Name
,reference,partName,noMount,SymbolName
sht4.cmp4808,B0225,1267361536,YES,r_sym_1.smb
sht3.cmp340,B3000,1267362148,YES,r_sym_1.smb
sht3.cmp343,B3001,1267362122,NO,r_sym_1.smb
sht3.cmp345,B3002,1267362122,NO,r_sym_1.smb
sht3.cmp346,B3003,8909006786,NO,r_sym_1.smb
sht1.cmp1295,B3043,8905B0070701,NO,br_sym_2.smb
sht3.cmp173,B3160,8905B00707,NO,br_sym_2.smb
sht10.cmp5389/sht1.cmp2249,B5000,1267361536,YES,r_sym_1.smb
sht10.cmp5389/sht1.cmp3272,B5001,DUMMYB0603,NO,br_sym_2.smb
sht10.cmp5389/sht1.cmp1997,B5002,1267361536,YES,r_sym_1.smb
sht10.cmp5389/sht1.cmp2485,B5003,1267361536,NO,r_sym_1.smb
sht10.cmp5389/sht1.cmp3454,B5004,1267361536,NO,r_sym_1.smb
sht10.cmp5389/sht1.cmp2403,B5006,1267361536,YES,r_sym_1.smb
sht10.cmp5389/sht1.cmp3536,B5007,8909B00532,YES,br_sym_2.smb
sht10.cmp5389/sht1.cmp3472,B5009,1267361536,YES,r_sym_1.smb
sht10.cmp5389/sht1.cmp3264,B5052,1267361536,NO,r_sym_1.smb
sht10.cmp5389/sht2.cmp3546,B5121,1267362122,YES,r_sym_1.smb
sht10.cmp5389/sht2.cmp3548,B5122,1267362122,NO,r_sym_1.smb
sht10.cmp5389/sht2.cmp3648,B5123,1267361536,NO,r_sym_1.smb
sht10.cmp5389/sht2.cmp3360,B5124,1267361536,YES,r_sym_1.smb
sht10.cmp5389/sht2.cmp3531,B5152,1267361536,YES,r_sym_1.smb
sht10.cmp5389/sht1.cmp3268,B5153,1267361536,NO,r_sym_1.smb
sht10.cmp5389/sht1.cmp3270,B5154,1267361536,YES,r_sym_1.smb
sht10.cmp5389/sht2.cmp3651,B5156,1267361536,YES,r_sym_1.smb
sht10.cmp5389/sht1.cmp3337,B5157,1267361536,YES,r_sym_1.smb
sht1.cmp2062,C0001,1267370564,NO,c_sym_1.smb
sht1.cmp2066,C0002,1267370564,NO,c_sym_1.smb
sht1.cmp2048,C0003,1267370564,NO,c_sym_1.smb
sht1.cmp2052,C0004,1267370564,NO,c_sym_1.smb
sht1.cmp2055,C0005,1267370564,NO,c_sym_1.smb
sht1.cmp2057,C0006,1267370564,NO,c_sym_1.smb
sht1.cmp2068,C0009,1267370564,NO,c_sym_1.smb
sht5.cmp2693,C0101,1267370010,YES,c_sym_1.smb
sht5.cmp2701,C0102,1267370010,YES,c_sym_1.smb
sht4.cmp4255,C0103,1267370010,YES,c_sym_1.smb
sht4.cmp4928,C0104,1267370010,YES,c_sym_1.smb
sht4.cmp4906,C0105,1267370010,YES,c_sym_1.smb
sht4.cmp4907,C0106,1267370010,YES,c_sym_1.smb
sht4.cmp4771,C0108,1267370010,YES,c_sym_1.smb
sht4.cmp4758,C0109,1267370010,YES,c_sym_1.smb
