"Component ID","Symbol Name","Part Name","Reference Designator","Not mount on PCB","Value"
"","SymbolName","partName","reference","noMount","value"
"sht4.cmp4808","r_sym_1.smb","1267361536","B0225","YES","50m"
"sht3.cmp340","r_sym_1.smb","1267362148","B3000","YES","50m"
"sht3.cmp343","r_sym_1.smb","1267362122","B3001","NO","50m"
"sht3.cmp345","r_sym_1.smb","1267362122","B3002","NO","50m"
"sht3.cmp346","r_sym_1.smb","8909006786","B3003","NO","0.2m"
"sht1.cmp1295","br_sym_2.smb","8905B0070701","B3043","NO","25m"
"sht3.cmp173","br_sym_2.smb","8905B00707","B3160","NO","25m"
"sht10.cmp5389/sht1.cmp2249","r_sym_1.smb","1267361536","B5000","YES","50m"
"sht10.cmp5389/sht1.cmp3272","br_sym_2.smb","DUMMYB0603","B5001","NO",""
"sht10.cmp5389/sht1.cmp1997","r_sym_1.smb","1267361536","B5002","YES","50m"
"sht10.cmp5389/sht1.cmp2485","r_sym_1.smb","1267361536","B5003","NO","50m"
"sht10.cmp5389/sht1.cmp3454","r_sym_1.smb","1267361536","B5004","NO","50m"
"sht10.cmp5389/sht1.cmp2403","r_sym_1.smb","1267361536","B5006","YES","50m"
"sht10.cmp5389/sht1.cmp3536","br_sym_2.smb","8909B00532","B5007","YES","25m"
"sht10.cmp5389/sht1.cmp3472","r_sym_1.smb","1267361536","B5009","YES","50m"
"sht10.cmp5389/sht1.cmp3264","r_sym_1.smb","1267361536","B5052","NO","50m"
"sht10.cmp5389/sht2.cmp3546","r_sym_1.smb","1267362122","B5121","YES","50m"
"sht10.cmp5389/sht2.cmp3548","r_sym_1.smb","1267362122","B5122","NO","50m"
"sht10.cmp5389/sht2.cmp3648","r_sym_1.smb","1267361536","B5123","NO","50m"
"sht10.cmp5389/sht2.cmp3360","r_sym_1.smb","1267361536","B5124","YES","50m"
"sht10.cmp5389/sht2.cmp3531","r_sym_1.smb","1267361536","B5152","YES","50m"
"sht10.cmp5389/sht1.cmp3268","r_sym_1.smb","1267361536","B5153","NO","50m"
"sht10.cmp5389/sht1.cmp3270","r_sym_1.smb","1267361536","B5154","YES","50m"
"sht10.cmp5389/sht2.cmp3651","r_sym_1.smb","1267361536","B5156","YES","50m"
"sht10.cmp5389/sht1.cmp3337","r_sym_1.smb","1267361536","B5157","YES","50m"
"sht1.cmp2062","c_sym_1.smb","1267370564","C0001","NO","100nF"
"sht1.cmp2066","c_sym_1.smb","1267370564","C0002","NO","100nF"
"sht1.cmp2048","c_sym_1.smb","1267370564","C0003","NO","100nF"
"sht1.cmp2052","c_sym_1.smb","1267370564","C0004","NO","100nF"
"sht1.cmp2055","c_sym_1.smb","1267370564","C0005","NO","100nF"
"sht1.cmp2057","c_sym_1.smb","1267370564","C0006","NO","100nF"
"sht1.cmp2068","c_sym_1.smb","1267370564","C0009","NO","100nF"
"sht5.cmp2693","c_sym_1.smb","1267370010","C0101","YES","4.7nF"
"sht5.cmp2701","c_sym_1.smb","1267370010","C0102","YES","4.7nF"
"sht4.cmp4255","c_sym_1.smb","1267370010","C0103","YES","4.7nF"
"sht4.cmp4928","c_sym_1.smb","1267370010","C0104","YES","4.7nF"
"sht4.cmp4906","c_sym_1.smb","1267370010","C0105","YES","4.7nF"
"sht4.cmp4907","c_sym_1.smb","1267370010","C0106","YES","4.7nF"
"sht4.cmp4771","c_sym_1.smb","1267370010","C0108","YES","4.7nF"
"sht4.cmp4758","c_sym_1.smb","1267370010","C0109","YES","4.7nF"
"sht4.cmp4930","c_sym_1.smb","1267370010","C0111","YES","4.7nF"
"sht4.cmp4932","c_sym_1.smb","1267370010","C0112","YES","4.7nF"
"sht9.cmp628","c_sym_1.smb","1267370900","C0113","NO","10nF"
"sht2.cmp627","c_sym_1.smb","1267370010","C0114","NO","4.7nF"
"sht4.cmp3556","c_sym_1.smb","1267370010","C0117","YES","4.7nF"
"sht4.cmp3549","c_sym_1.smb","1267370010","C0118","YES","4.7nF"
"sht2.cmp376","c_sym_1.smb","1267370010","C0119","NO","4.7nF"
"sht2.cmp351","c_sym_1.smb","1267370010","C0120","NO","4.7nF"
"sht2.cmp352","c_sym_1.smb","1267370010","C0121","NO","4.7nF"
"sht2.cmp349","c_sym_1.smb","1267370010","C0122","NO","4.7nF"
"sht2.cmp350","c_sym_1.smb","1267370010","C0123","NO","4.7nF"
"sht2.cmp370","c_sym_1.smb","1267370010","C0124","NO","4.7nF"
"sht9.cmp474","c_sym_1.smb","1267370010","C0125","NO","4.7nF"
"sht8.cmp9","c_sym_1.smb","1267370902","C0126","NO","68pF"
"sht8.cmp437","c_sym_1.smb","1267370902","C0127","NO","68pF"
"sht8.cmp464","c_sym_1.smb","1267370902","C0128","NO","68pF"
"sht8.cmp492","c_sym_1.smb","1267370902","C0129","NO","68pF"
"sht8.cmp496","c_sym_1.smb","1267370902","C0130","NO","68pF"
"sht2.cmp371","c_sym_1.smb","1267370010","C0137","NO","4.7nF"
"sht8.cmp524","c_sym_1.smb","1267370902","C0138","NO","68pF"
"sht6.cmp2355","c_sym_1.smb","1267370010","C0140","NO","4.7nF"
"sht18.cmp50","c_sym_1.smb","8909004939","C0142","NO","4.7nF"
"sht1.cmp1500","c_sym_1.smb","1267370900","C0143","NO","10nF"
"sht1.cmp1505","c_sym_1.smb","1267370900","C0144","NO","10nF"
"sht1.cmp1504","c_sym_1.smb","1267370900","C0145","NO","10nF"
"sht6.cmp2714","c_sym_1.smb","1267370010","C0146","NO","4.7nF"
"sht1.cmp1370","c_sym_1.smb","1267370010","C0147","NO","4.7nF"
"sht1.cmp2011","c_sym_1.smb","1267370900","C0148A","NO","10nF"
"sht1.cmp2012","c_sym_1.smb","1267370900","C0148B","NO","10nF"
"sht16.cmp3355","c_sym_1.smb","1267370010","C0149","NO","4.7nF"
"sht14.cmp3418","c_sym_1.smb","1267370010","C0150","NO","4.7nF"
"sht14.cmp3517","c_sym_1.smb","1267370010","C0151","NO","4.7nF"
"sht12.cmp14","c_sym_1.smb","1267370010","C0152","NO","4.7nF"
"sht3.cmp6","c_sym_1.smb","1267370010","C0153","NO","4.7nF"
"sht1.cmp1815","c_sym_1.smb","1267370900","C0154A","NO","10nF"
"sht1.cmp1818","c_sym_1.smb","1267370900","C0154B","NO","10nF"
"sht12.cmp165","c_sym_1.smb","1267370010","C0201","NO","4.7nF"
"sht12.cmp139","c_sym_1.smb","1267370010","C0202","NO","4.7nF"
"sht2.cmp638","c_sym_1.smb","1267370010","C0203","NO","4.7nF"
"sht12.cmp70","c_sym_1.smb","1267370010","C0204","NO","4.7nF"
"sht16.cmp3174","c_sym_1.smb","1267370010","C0205","NO","4.7nF"
"sht16.cmp3133","c_sym_1.smb","1267370010","C0206","NO","4.7nF"
"sht17.cmp8360","c_sym_1.smb","1267370010","C0208","NO","4.7nF"
"sht15.cmp2283","c_sym_1.smb","1267370010","C0209","NO","4.7nF"
"sht15.cmp2281","c_sym_1.smb","1267370010","C0210","NO","4.7nF"
"sht11.cmp3500","c_sym_1.smb","1267370010","C0211","NO","4.7nF"
"sht11.cmp3503","c_sym_1.smb","1267370010","C0212","NO","4.7nF"
"sht2.cmp629","c_sym_1.smb","1267370010","C0213","NO","4.7nF"
"sht2.cmp631","c_sym_1.smb","1267370010","C0216","NO","4.7nF"
"sht6.cmp2366","c_sym_1.smb","1267370010","C0218","NO","4.7nF"
"sht9.cmp329","c_sym_1.smb","1267370902","C0219","NO","68pF"
"sht2.cmp323","c_sym_1.smb","1267370010","C0222","NO","4.7nF"
"sht2.cmp367","c_sym_1.smb","1267370010","C0223","NO","4.7nF"
"sht4.cmp4839","c_sym_1.smb","1267370010","C0225","NO","4.7nF"
"sht4.cmp4908","c_sym_1.smb","1267370010","C0226","YES","4.7nF"
"sht4.cmp4909","c_sym_1.smb","1267370010","C0227","YES","4.7nF"
"sht5.cmp2484","c_sym_1.smb","1267370010","C0228","YES","4.7nF"
"sht5.cmp2475","c_sym_1.smb","1267370010","C0229","YES","4.7nF"
"sht2.cmp682","c_sym_1.smb","1267370010","C0230","NO","4.7nF"
"sht2.cmp635","c_sym_1.smb","1267370010","C0234","NO","4.7nF"
"sht6.cmp2377","c_sym_1.smb","1267370010","C0240","NO","4.7nF"
"sht9.cmp580","c_sym_1.smb","1267370010","C0241","NO","4.7nF"
"sht6.cmp2410","c_sym_1.smb","1267370010","C0242","NO","4.7nF"
"sht6.cmp2421","c_sym_1.smb","1267370010","C0243","NO","4.7nF"
"sht6.cmp2432","c_sym_1.smb","1267370010","C0244","NO","4.7nF"
"sht4.cmp4327","c_sym_1.smb","1267370010","C0246","YES","4.7nF"
"sht2.cmp639","c_sym_1.smb","1267370010","C0248","NO","4.7nF"
"sht4.cmp4354","c_sym_1.smb","1267370010","C0252","YES","4.7nF"
"sht9.cmp353","c_sym_1.smb","1267370010","C0255","NO","4.7nF"
