"Component ID","Part Name","Top Level No","Top Level Title","D. name","D. Note","Draw Date","Draw Name","Check Date","Check Name","App. Date","Viewed Name","Partlist No","DO No","Bareboard No","ECAM No","Variation Comment","Change 1","Change 2","Change 3","Change 4","Change 5","Change 6","Change 7","Arranger","Body Type","Dist.","Reply By","Reply For","Check 1","Check 2","Check 3","Check 4","Check 5","Check 6","Check 7","Checked","Draw 1","Draw 2","Draw 3","Draw 4","Draw 5","Draw 6","Draw 7","Valid 1","Valid 2","Valid 3","Valid 4","Valid 5","Valid 6","Valid 7","Last Modified","No 1","No 2","No 3","No 4","No 5","No 6","No 7","Page Number","Drawing Comment","Symbol Name","Confidentiality","Availability"
"","partName","top_level_no","top_level_titel","d_name","d_note","draw_dat","draw_nam","check_dat","check_nam","app_dat","GES_NAM","partlistno","dono","bareboardno","ecamno","variation_comment","change1","change2","change3","change4","change5","change6","change7","arranger","body_type","dist","repl_by","repl_for","check1","check2","check3","check4","check5","check6","check7","checked","draw1","draw2","draw3","draw4","draw5","draw6","draw7","valid1","valid2","valid3","valid4","valid5","valid6","valid7","last_modified","no1","no2","no3","no4","no5","no6","no7","page_number","Z_BEMERK","SymbolName","confidentiality","availability"
"sht1.cmp1280","0281Y09PG9_L","","","FHS1000-2.x_Layout","BS_CY329 REG","2024.06.10","crn3clj","-","-","-","-","0281Y09U88_01","DO-0053516","1030L09100_02","1039N06363_01 ","Layout","Layout","","","","","","","","","","","","EHE2","","","","","","","","crn3clj","","","","","","","2024.06.10","","","","","","","2024.06.10","1","2","3","4","5","6","7","","","din_a1_v_sdsym_2.smb","C-SC2","A-SC0"
"sht2.cmp134","0281Y09PG9_L","","","FHS1000-2.x_Layout","BS_CY329 Sensor Supply","2024.06.10","crn3clj","-","-","-","-","0281Y09U88_01","DO-0053516","1030L09100_02","1039N06363_01 ","Layout","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","din_a1_v_sdsym_1.smb","C-SC2","A-SC0"
"sht3.cmp2","0281Y09PG9_L","","","FHS1000-2.x_Layout","BS_CY329 MSC, HSLS","2024.06.10","crn3clj","-","-","-","-","0281Y09U88_01","DO-0053516","1030L09100_02","1039N06363_01 ","Layout","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","din_a1_v_sdsym_1.smb","C-SC2","A-SC0"
"sht4.cmp4847","0281Y09PG9_L","-","-","FHS1000-2.x_Layout","CAN, LIN","2024.06.10","crn3clj","-","-","-","-","0281Y09U88_01","DO-0053516","1030L09100_02","1039N06363_01 ","Layout","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","din_a1_v_sdsym_1.smb","C-SC2","A-SC0"
"sht5.cmp2270","0281Y09PG9_L","","","FHS1000-2.x_Layout","CAN Termination","2024.06.10","crn3clj","-","-","-","-","0281Y09U88_01","DO-0053516","1030L09100_02","1039N06363_01 ","Layout","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","din_a1_v_sdsym_1.smb","C-SC2","A-SC0"
"sht6.cmp2442","0281Y09PG9_L","","","FHS1000-2.x_Layout","Analog / Sense","2024.06.10","crn3clj","-","-","-","-","0281Y09U88_01","DO-0053516","1030L09100_02","1039N06363_01 ","Layout","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","din_a1_v_sdsym_1.smb","C-SC2","A-SC0"
"sht7.cmp2775","0281Y09PG9_L","","","FHS1000-2.x_Layout","Relais monit., Dig. IN, CLS","2024.06.10","crn3clj","-","-","-","-","0281Y09U88_01","DO-0053516","1030L09100_02","1039N06363_01 ","Layout","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","din_a1_v_sdsym_1.smb","C-SC2","A-SC0"
"sht8.cmp2","0281Y09PG9_L","","","FHS1000-2.x_Layout","SENT 1","2024.06.10","crn3clj","-","-","-","-","0281Y09U88_01","DO-0053516","1030L09100_02","1039N06363_01 ","Layout","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","din_a1_v_sdsym_1.smb","C-SC2","A-SC0"
"sht9.cmp2","0281Y09PG9_L","","","FHS1000-2.x_Layout","SENT 2","2024.06.10","crn3clj","-","-","-","-","0281Y09U88_01","DO-0053516","1030L09100_02","1039N06363_01 ","Layout","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","din_a1_v_sdsym_1.smb","C-SC2","A-SC0"
