reference;partName;_HID;symbolName;sheetNumber;_DEST;noMount;trimOption;nominal_value;dim_nominal_value;ref_voltage_divider;fac_voltage_divider;des_voltage_divider
B1100;1267362122;sht7.cmp1709;r_sym_1.smb;007;;YES;;;;;;
B1101;1267362122;sht7.cmp1904;r_sym_1.smb;007;;YES;;;;;;
B1102;1267362122;sht7.cmp1698;r_sym_1.smb;007;;YES;;;;;;
B1103;1267362122;sht7.cmp1718;r_sym_1.smb;007;;YES;;;;;;
B1116;1267361507;sht7.cmp2026;r_sym_1.smb;007;;YES;;;;;;
B1150;1267362122;sht8.cmp1712;r_sym_1.smb;008;;YES;;;;;;
B1151;1267362122;sht8.cmp1706;r_sym_1.smb;008;;YES;;;;;;
B1152;1267362122;sht8.cmp1893;r_sym_1.smb;008;;YES;;;;;;
B1153;1267362122;sht8.cmp1906;r_sym_1.smb;008;;YES;;;;;;
B1166;1267361507;sht8.cmp1983;r_sym_1.smb;008;;YES;;;;;;
B1200;1267362122;sht7.cmp1951;r_sym_1.smb;007;;YES;;;;;;
B1201;1267362122;sht7.cmp1950;r_sym_1.smb;007;;YES;;;;;;
B1202;1267362122;sht7.cmp1949;r_sym_1.smb;007;;YES;;;;;;
B1203;1267362122;sht7.cmp1948;r_sym_1.smb;007;;YES;;;;;;
B1250;1267362122;sht8.cmp1939;r_sym_1.smb;008;;YES;;;;;;
B1251;1267362122;sht8.cmp1913;r_sym_1.smb;008;;YES;;;;;;
B1252;1267362122;sht8.cmp1931;r_sym_1.smb;008;;YES;;;;;;
B1253;1267362122;sht8.cmp1930;r_sym_1.smb;008;;YES;;;;;;
B1299;1267362122;sht8.cmp1997;r_sym_1.smb;008;;YES;;;;;;
B3592;1267362122;sht4.cmp1022;r_sym_1.smb;004;;YES;;;;;;
B4551;1267361536;sht3.cmp1944;r_sym_1.smb;003;;YES;;;;;;
B4560;1267362122;sht3.cmp1888;r_sym_1.smb;003;;NO;;;;;;
B4570;1267362122;sht3.cmp1662;r_sym_1.smb;003;;NO;;;;;;
B4575;1267361536;sht3.cmp2034;r_sym_1.smb;003;;NO;;;;;;
B4580;1267362122;sht3.cmp1794;r_sym_1.smb;003;;YES;;;;;;
B4585;1267361536;sht3.cmp2036;r_sym_1.smb;003;;YES;;;;;;
B4590;1267362122;sht3.cmp1714;r_sym_1.smb;003;;YES;;;;;;
B4595;1267361536;sht3.cmp2035;r_sym_1.smb;003;;YES;;;;;;
B4744;1267361536;sht3.cmp1118;r_sym_1.smb;003;;YES;;;;;;
B4745;1267361536;sht3.cmp1117;r_sym_1.smb;003;;NO;;;;;;
B4746;1267362122;sht3.cmp1102;r_sym_1.smb;003;;NO;;;;;;
B4747;1267362122;sht3.cmp1104;r_sym_1.smb;003;;NO;;;;;;
B5000;1267361536;sht10.cmp3273/sht1.cmp2249;r_sym_1.smb;010;;YES;;;;;;
B5001;DUMMYB0603;sht10.cmp3273/sht1.cmp3272;br_sym_2.smb;010;;YES;;;;;;
B5002;1267361536;sht10.cmp3273/sht1.cmp1997;r_sym_1.smb;010;;YES;;;;;;
B5003;1267361536;sht10.cmp3273/sht1.cmp2485;r_sym_1.smb;010;;NO;;;;;;
B5006;1267361536;sht10.cmp3273/sht1.cmp2403;r_sym_1.smb;010;;YES;;;;;;
B5008;1267361536;sht10.cmp3273/sht1.cmp3239;r_sym_1.smb;010;;YES;;;;;;
B5010;1267361536;sht10.cmp3273/sht1.cmp2979;r_sym_1.smb;010;;YES;;;;;;
B5011;1267361536;sht10.cmp3273/sht1.cmp2980;r_sym_1.smb;010;;YES;;;;;;
B5052;1267361536;sht10.cmp3273/sht1.cmp3264;r_sym_1.smb;010;;NO;;;;;;
B5124;1267361536;sht10.cmp3273/sht2.cmp3360;r_sym_1.smb;010;;YES;;;;;;
B5125;1267361536;sht10.cmp3273/sht2.cmp3359;r_sym_1.smb;010;;NO;;;;;;
B5151;1267361536;sht10.cmp3273/sht1.cmp3258;r_sym_1.smb;010;;YES;;;;;;
B5153;1267361536;sht10.cmp3273/sht1.cmp3268;r_sym_1.smb;010;;NO;;;;;;
B5154;1267361536;sht10.cmp3273/sht1.cmp3270;r_sym_1.smb;010;;YES;;;;;;
B5155;1267361536;sht10.cmp3273/sht2.cmp3447;r_sym_1.smb;010;;YES;;;;;;
B5156;1267361536;sht10.cmp3273/sht2.cmp3432;r_sym_1.smb;010;;NO;;;;;;
B5157;1267361536;sht10.cmp3273/sht1.cmp3337;r_sym_1.smb;010;;YES;;;;;;
C1100;1267370911;sht7.cmp2045;c_sym_1.smb;007;;YES;;;;;;
C1101;1267370011;sht7.cmp2027;c_sym_1.smb;007;;YES;;;;;;
C1102;1267370007;sht7.cmp1869;c_sym_1.smb;007;;YES;;;;;;
C1103;1267370007;sht7.cmp1785;c_sym_1.smb;007;;YES;;;;;;
C1104;1267370028;sht7.cmp2041;c_sym_1.smb;007;;YES;;;;;;
C1105;1267370007;sht7.cmp1775;c_sym_1.smb;007;;YES;;;;;;
C1106;1267370682;sht7.cmp2024;c_sym_1.smb;007;;YES;;;;;;
C1107;1267370572;sht7.cmp1794;c_sym_1.smb;007;;YES;;;;;;
C1108;1267370584;sht7.cmp1829;c_sym_1.smb;007;;YES;;;;;;
C1109;1267370584;sht7.cmp1767;c_sym_1.smb;007;;YES;;;;;;
C1110;1267370028;sht7.cmp1801;c_sym_1.smb;007;;YES;;;;;;
C1111;1267370574;sht7.cmp1820;c_sym_1.smb;007;;YES;;;;;;
C1112;1267370584;sht7.cmp1778;c_sym_1.smb;007;;YES;;;;;;
C1113;1267370584;sht7.cmp1772;c_sym_1.smb;007;;YES;;;;;;
C1114;1267370829;sht7.cmp2046;c_sym_1.smb;007;;YES;;;;;;
C1115;1267370572;sht7.cmp1832;c_sym_1.smb;007;;YES;;;;;;
C1150;1267370911;sht8.cmp1995;c_sym_1.smb;008;;YES;;;;;;
C1151;1267370011;sht8.cmp1984;c_sym_1.smb;008;;YES;;;;;;
C1152;1267370007;sht8.cmp1811;c_sym_1.smb;008;;YES;;;;;;
C1153;1267370007;sht8.cmp1807;c_sym_1.smb;008;;YES;;;;;;
C1154;1267370028;sht8.cmp1966;c_sym_1.smb;008;;YES;;;;;;
C1155;1267370007;sht8.cmp1780;c_sym_1.smb;008;;YES;;;;;;
C1156;1267370682;sht8.cmp1981;c_sym_1.smb;008;;YES;;;;;;
C1157;1267370572;sht8.cmp1804;c_sym_1.smb;008;;YES;;;;;;
C1158;1267370584;sht8.cmp1783;c_sym_1.smb;008;;YES;;;;;;
C1159;1267370584;sht8.cmp1759;c_sym_1.smb;008;;YES;;;;;;
C1160;1267370028;sht8.cmp1782;c_sym_1.smb;008;;YES;;;;;;
C1161;1267370574;sht8.cmp1790;c_sym_1.smb;008;;YES;;;;;;
C1162;1267370584;sht8.cmp1764;c_sym_1.smb;008;;YES;;;;;;
C1163;1267370584;sht8.cmp1770;c_sym_1.smb;008;;YES;;;;;;
C1164;1267370829;sht8.cmp1996;c_sym_1.smb;008;;YES;;;;;;
C1165;1267370572;sht8.cmp1762;c_sym_1.smb;008;;YES;;;;;;
C1200;1267370594;sht7.cmp1927;c_sym_1.smb;007;;YES;;;;;;
C1201;1267370595;sht7.cmp1932;c_sym_1.smb;007;;YES;;;;;;
C1202;1267370595;sht7.cmp1913;c_sym_1.smb;007;;YES;;;;;;
C1203;1267370595;sht7.cmp1929;c_sym_1.smb;007;;YES;;;;;;
C1204;1267370564;sht7.cmp1937;c_sym_1.smb;007;;YES;;;;;;
C1205;1267370564;sht7.cmp1920;c_sym_1.smb;007;;YES;;;;;;
C1250;1267370594;sht8.cmp1921;c_sym_1.smb;008;;YES;;;;;;
C1251;1267370595;sht8.cmp1922;c_sym_1.smb;008;;YES;;;;;;
C1252;1267370595;sht8.cmp1920;c_sym_1.smb;008;;YES;;;;;;
C1253;1267370595;sht8.cmp1937;c_sym_1.smb;008;;YES;;;;;;
C1254;1267370564;sht8.cmp1945;c_sym_1.smb;008;;YES;;;;;;
C1255;1267370564;sht8.cmp1929;c_sym_1.smb;008;;YES;;;;;;
C1400;1267370662;sht4.cmp728;c_sym_1.smb;004;;NO;;;;;;
C1405;1267370662;sht4.cmp529;c_sym_1.smb;004;;NO;;;;;;
C1410;1267370662;sht4.cmp466;c_sym_1.smb;004;;NO;;;;;;
C1415;1267370662;sht4.cmp822;c_sym_1.smb;004;;NO;;;;;;
C1420;1267361535;sht4.cmp1031;c_sym_1.smb;004;;NO;;;;;;
C1425;1267370662;sht4.cmp497;c_sym_1.smb;004;;NO;;;;;;
C1430;1267370662;sht4.cmp500;c_sym_1.smb;004;;NO;;;;;;
C1435;1267370662;sht4.cmp299;c_sym_1.smb;004;;NO;;;;;;
C1440;1267370662;sht4.cmp535;c_sym_1.smb;004;;NO;;;;;;
C1445;1267370662;sht4.cmp543;c_sym_1.smb;004;;NO;;;;;;
C1450;1267370662;sht4.cmp461;c_sym_1.smb;004;;NO;;;;;;
C1455;1267370662;sht4.cmp411;c_sym_1.smb;004;;NO;;;;;;
C1460;1267370662;sht4.cmp385;c_sym_1.smb;004;;NO;;;;;;
C1465;1267370662;sht4.cmp556;c_sym_1.smb;004;;NO;;;;;;
C1470;1267370662;sht4.cmp372;c_sym_1.smb;004;;NO;;;;;;
C1475;1267370011;sht4.cmp376;c_sym_1.smb;004;;NO;;;;;;
C1480;1267370662;sht4.cmp595;c_sym_1.smb;004;;NO;;;;;;
C1485;1267370662;sht4.cmp369;c_sym_1.smb;004;;NO;;;;;;
C1490;1267370662;sht4.cmp523;c_sym_1.smb;004;;NO;;;;;;
C1495;1267370662;sht4.cmp301;c_sym_1.smb;004;;NO;;;;;;
C1500;1267361535;sht4.cmp760;c_sym_1.smb;004;;NO;;;;;;
C1505;1267361535;sht4.cmp658;c_sym_1.smb;004;;NO;;;;;;
C1510;1267370662;sht5.cmp396;c_sym_1.smb;005;;NO;;;;;;
C1515;1267370662;sht5.cmp1462;c_sym_1.smb;005;;NO;;;;;;
C1520;1267370662;sht5.cmp360;c_sym_1.smb;005;;NO;;;;;;
C1525;1267370682;sht5.cmp1159;c_sym_1.smb;005;;NO;;;;;;
C1530;1267361535;sht5.cmp696;c_sym_1.smb;005;;NO;;;;;;
C1535;1267370682;sht5.cmp720;c_sym_1.smb;005;;NO;;;;;;
C1540;1267370662;sht5.cmp1280;c_sym_1.smb;005;;NO;;;;;;
C1545;1267370662;sht5.cmp746;c_sym_1.smb;005;;NO;;;;;;
C1550;1267370662;sht5.cmp1453;c_sym_1.smb;005;;NO;;;;;;
C1600;1267370682;sht6.cmp13;c_sym_1.smb;006;;NO;;;;;;
C1700;1267370682;sht6.cmp742;c_sym_1.smb;006;;NO;;;;;;
C1710;1267370682;sht6.cmp1116;c_sym_1.smb;006;;NO;;;;;;
C1716;1267370011;sht6.cmp1123;c_sym_1.smb;006;;NO;;;;;;
C1975;1267370662;sht6.cmp1006;c_sym_1.smb;006;;NO;;;;;;
C2080;1267370011;sht4.cmp457;c_sym_1.smb;004;;NO;;;;;;
C2100;1267370667;sht9.cmp1078;c_sym_1.smb;009;;NO;;;;;;
C2110;1267370007;sht9.cmp374;c_sym_1.smb;009;;NO;;;;;;
C2120;1267370007;sht9.cmp1474;c_sym_1.smb;009;;NO;;;;;;
C2130;1267370007;sht9.cmp350;c_sym_1.smb;009;;NO;;;;;;
C2134;1267370907;sht9.cmp1251;c_sym_1.smb;009;;NO;;;;;;
C2140;1267370667;sht9.cmp1074;c_sym_1.smb;009;;NO;;;;;;
C2145;1267370667;sht9.cmp1075;c_sym_1.smb;009;;NO;;;;;;
C2150;1267370667;sht9.cmp1077;c_sym_1.smb;009;;NO;;;;;;
C2155;1267370007;sht9.cmp347;c_sym_1.smb;009;;NO;;;;;;
C2160;1267370007;sht9.cmp568;c_sym_1.smb;009;;NO;;;;;;
C2165;1267370007;sht9.cmp1268;c_sym_1.smb;009;;NO;;;;;;
C2170;1267370007;sht5.cmp1430;c_sym_1.smb;005;;NO;;;;;;
C2171;1267370907;sht5.cmp1428;c_sym_1.smb;005;;NO;;;;;;
C2175;1267370607;sht9.cmp303;c_sym_1.smb;009;;NO;;;;;;
C2180;1267370667;sht9.cmp1085;c_sym_1.smb;009;;NO;;;;;;
C2185;1267370667;sht9.cmp1209;c_sym_1.smb;009;;NO;;;;;;
C2190;1267370607;sht9.cmp1090;c_sym_1.smb;009;;NO;;;;;;
C2195;1267370682;sht9.cmp1758;c_sym_1.smb;009;;NO;;;;;;
C2200;1267370007;sht9.cmp1741;c_sym_1.smb;009;;NO;;;;;;
C2202;1267370907;sht9.cmp1550;c_sym_1.smb;009;;NO;;;;;;
C2210;1267370007;sht9.cmp1742;c_sym_1.smb;009;;NO;;;;;;
C2212;1267370907;sht9.cmp1546;c_sym_1.smb;009;;NO;;;;;;
C2220;1267370007;sht9.cmp809;c_sym_1.smb;009;;NO;;;;;;
C2225;1267370907;sht9.cmp804;c_sym_1.smb;009;;NO;;;;;;
C2230;1267370007;sht9.cmp1343;c_sym_1.smb;009;;NO;;;;;;
C2235;1267370907;sht9.cmp1318;c_sym_1.smb;009;;NO;;;;;;
C2240;1267370007;sht9.cmp1342;c_sym_1.smb;009;;NO;;;;;;
C2245;1267370907;sht9.cmp1339;c_sym_1.smb;009;;NO;;;;;;
C2250;1267370007;sht9.cmp1662;c_sym_1.smb;009;;NO;;;;;;
C2255;1267370907;sht9.cmp1644;c_sym_1.smb;009;;NO;;;;;;
C2260;1267370007;sht9.cmp1649;c_sym_1.smb;009;;NO;;;;;;
C2265;1267370907;sht9.cmp1643;c_sym_1.smb;009;;NO;;;;;;
C2270;1267370007;sht9.cmp1685;c_sym_1.smb;009;;NO;;;;;;
C2275;1267370907;sht9.cmp1683;c_sym_1.smb;009;;NO;;;;;;
C2280;1267370007;sht9.cmp1699;c_sym_1.smb;009;;NO;;;;;;
C2285;1267370907;sht9.cmp1682;c_sym_1.smb;009;;NO;;;;;;
C2495;1267370007;sht4.cmp859;c_sym_1.smb;004;;NO;;;;;;
C2500;1267370907;sht4.cmp874;c_sym_1.smb;004;;NO;;;;;;
C2505;1267370007;sht4.cmp894;c_sym_1.smb;004;;NO;;;;;;
C2510;1267370907;sht4.cmp885;c_sym_1.smb;004;;NO;;;;;;
C2515;1267370007;sht4.cmp923;c_sym_1.smb;004;;NO;;;;;;
